# AFGL atmospheric constituent profile. U.S. standard atmosphere 1976. ( AFGL-TR-86-0110)       
#     z(km)      p(mb)        T(K)    air(cm-3)    o3(cm-3)     o2(cm-3)    h2o(cm-3)    co2(cm-3)     no2(cm-3)
 38.3  3.6  246.060862617  1.062165414e+17  830290322435.0  2.26672545327e+16  539205732464.0  3.57904018938e+13  609068544.37 
 33.4  7.2  232.497989846  2.24914812374e+17  1.65850493818e+12  4.60379519861e+16  1.06839831658e+12  7.26915031359e+13  1593388939.37 
 32.3  8.557  229.338689381  2.70373244152e+17  1.91333042495e+12  5.49553024173e+16  1.26561278601e+12  8.67715301327e+13  1863358758.87 
 31.1  10.17  227.997111306  3.23492437203e+17  2.19522430469e+12  6.68137577941e+16  1.52273917076e+12  1.05495407043e+14  2097733491.35 
 29.9  12.086  226.446886447  3.86611441832e+17  2.52601123223e+12  8.08506930403e+16  1.82604725275e+12  1.27658989011e+14  2366791531.14 
 28.8  14.364  225.403846154  4.62051375385e+17  2.84438593077e+12  9.66335615385e+16  2.14756442308e+12  1.52579307692e+14  2514302461.54 
 27.6  17.072  224.163919414  5.51731507106e+17  3.22285769707e+12  1.15395636996e+17  2.52977184066e+12  1.82203637363e+14  2689657860.81 
 26.5  20.289  223.148684864  6.59197438834e+17  3.62547303164e+12  1.37870306538e+17  2.97361575149e+12  2.17689957692e+14  2856569662.78 
 25.4  24.113  222.010024814  7.87078925682e+17  4.09706095223e+12  1.64613303462e+17  3.49968760658e+12  2.59915742308e+14  3048812485.61 
 24.2  28.658  220.85106383  9.39970710213e+17  4.45515056596e+12  1.96595449787e+17  4.07095088085e+12  3.10413868085e+14  3020715242.55 
 23.1  34.059  219.723434343  1.12279146812e+18  4.73734242485e+12  2.34774872222e+17  4.73001730303e+12  3.70697166667e+14  2956033993.94 
 22.0  40.478  218.598826979  1.34116851202e+18  4.89412716833e+12  2.80535122581e+17  5.45617474487e+12  4.42950193548e+14  2898571354.84 
 20.9  48.107  217.5080875  1.60203869275e+18  4.76904597588e+12  3.3502329025e+17  6.35769225938e+12  5.289841425e+14  2751381983.75 
 19.8  57.173  216.7  1.91092656493e+18  4.69275294851e+12  3.99615174627e+17  7.43522317164e+12  6.30971328358e+14  2514437037.31 
 18.7  67.949  216.7  2.27109894617e+18  4.27866936066e+12  4.74973114481e+17  8.73061584891e+12  7.4995754918e+14  2190602418.03 
 17.6  80.755  216.7  2.69912137471e+18  3.81584019844e+12  5.64473178171e+17  1.0360067977e+13  8.91273501946e+14  1786002688.72 
 16.5  95.975  216.7  3.20782791167e+18  3.26373839e+12  6.709240865e+17  1.25316518333e+13  1.0593539e+15  1321028770.0 
 15.4  114.064  216.7  3.81242669432e+18  2.78554354523e+12  7.9732113e+17  1.76214543409e+13  1.2589281e+15  857187602.727 
 14.3  135.562  216.7  4.53096699087e+18  2.45844804388e+12  9.47544294272e+17  2.57526154903e+13  1.4961225699e+15  455209765.359 
 13.2  161.111  216.7  5.38490588747e+18  2.18177413797e+12  1.12629819888e+18  5.39312996494e+13  1.77836557718e+15  267747724.39 
 12.1  191.476  216.7  6.39981288014e+18  2.01950134851e+12  1.33856101461e+18  1.17996269901e+14  2.11351739149e+15  208197868.582 
 11.0  227.563  216.896302632  7.59864268987e+18  1.62344687424e+12  1.5892377545e+18  2.79044331155e+14  2.50932277026e+15  198919150.932 
 9.9  270.452  224.111460465  8.73700410623e+18  1.09921545104e+12  1.82741766874e+18  7.20563548586e+14  2.88539631907e+15  207358912.707 
 8.7  321.424  231.499092784  1.00495027603e+19  825064475670.0  2.1019031059e+18  2.22305342928e+15  3.31879437773e+15  232715699.398 
 7.5  382.004  239.236190476  1.15561522095e+19  635128790095.0  2.41727776996e+18  5.41883775912e+15  3.81675437363e+15  266016213.919 
 6.3  454.0  247.263829787  1.32906374468e+19  579628393617.0  2.77929978723e+18  1.10133582979e+16  4.38836808511e+15  305855957.447 
 5.8  487.0  250.608491947  1.40679086969e+19  567325242753.0  2.94157860908e+18  1.45901505417e+16  4.64459780381e+15  323714392.387 
 5.6  500.0  251.84568082  1.43697447145e+19  569738712738.0  3.00482941435e+18  1.62453760176e+16  4.74446749634e+15  330675007.321 
 5.2  529.0  254.60556369  1.50430580527e+19  575122607321.0  3.14592736457e+18  1.99378020791e+16  4.96725373353e+15  346202532.943 
 5.1  533.0  254.986237189  1.5135924817e+19  575865213470.0  3.16538915081e+18  2.04471022255e+16  4.99798286969e+15  348344260.615 
 4.4  586.0  259.586333771  1.63400080289e+19  577190137582.0  3.41681219448e+18  3.05918939947e+16  5.39496662286e+15  376012825.23 
 4.0  616.0  262.148751643  1.70190883968e+19  577145690933.0  3.5585257293e+18  3.66511349803e+16  5.61872483574e+15  391608094.612 
 3.1  689.0  267.762647754  1.86316117021e+19  620181621986.0  3.89582917258e+18  5.67972528605e+16  6.15130921986e+15  428727612.293 
 3.0  700.0  268.607801418  1.88745478723e+19  626720380851.0  3.94664631206e+18  5.98397150355e+16  6.23154680851e+15  434319929.078 
 2.6  742.0  271.527292111  1.97806658209e+19  649353578252.0  4.1367338806e+18  7.61791054797e+16  6.53168507463e+15  455238656.716 
 1.8  819.0  276.702890173  2.1428753526e+19  677853895954.0  4.48228890173e+18  1.07019211561e+17  7.0772982659e+15  493266342.775 
 1.7  825.0  277.078612717  2.15551119075e+19  677860369942.0  4.50874612717e+18  1.09530714451e+17  7.11907283237e+15  496177903.468 
 1.5  844.0  278.268400771  2.19552639884e+19  677880870906.0  4.59252734104e+18  1.17483806936e+17  7.25135895954e+15  505397773.603 
 1.5  850.0  278.644123314  2.20816251638e+19  677887374759.0  4.61898456647e+18  1.19995309827e+17  7.29313352601e+15  508309306.358 
 1.3  869.0  279.833911368  2.24817613295e+19  677907945857.0  4.70276578035e+18  1.27948402312e+17  7.42541965318e+15  517529248.555 
 1.0  895.0  281.462042389  2.3029333025e+19  677936099807.0  4.81741375723e+18  1.38831581503e+17  7.60644277457e+15  530146011.561 
 0.8  925.0  283.191243433  2.36482294921e+19  677900709982.0  4.94685064799e+18  1.53481004028e+17  7.81081681261e+15  544390262.697 
 0.4  966.0  285.524868651  2.44915009982e+19  677838888091.0  5.12318295972e+18  1.7391648056e+17  8.08923625219e+15  563795253.94 
 0.1  1000.0  287.460070053  2.51908034676e+19  677787579685.0  5.26940975482e+18  1.90863076532e+17  8.3201206655e+15  579887197.898 
 0.0  1020.0  288.2  2.545818e+19  677768000000.0  5.32532e+18  1.973426e+17  8.4084e+15  586040000.0 
 0.0  1029.0  288.2  2.545818e+19  677768000000.0  5.32532e+18  1.973426e+17  8.4084e+15  586040000.0 
