# AFGL atmospheric constituent profile. U.S. standard atmosphere 1976. ( AFGL-TR-86-0110)       
#     z(km)      p(mb)        T(K)    air(cm-3)    o3(cm-3)     o2(cm-3)    h2o(cm-3)    co2(cm-3)     no2(cm-3)   ch4(cm-3)
   47.49   0.0001   236.3   3.06491798017e+12   19730338.1136   640567857856.0   6.40608e+08   1088039823.81   55776.3461645   1115952.36861
   33.75   6.7999997139   233.6   2.10823310651e+17   1.59236769229e+12   4.40620719261e+16   4.40648e+13   7.4842066889e+13   6174991604.93   92842236113.5
   32.99   7.59999990463   230.9   2.38381320492e+17   2.0395425883e+12   4.98216959828e+16   4.21595e+13   8.46253687746e+13   10077266378.2   125248307415.0
   32.28   8.44999980927   228.2   2.68178292011e+17   2.23817343561e+12   5.60492630302e+16   3.23381e+13   9.52032936637e+13   12255366633.2   145136700001.0
   31.9   8.94999980927   227.0   2.85548405233e+17   2.33338813468e+12   5.96796166937e+16   2.75462e+13   1.01369683858e+14   13835229307.3   158047277963.0
   31.5   9.5   228.3   3.0137017663e+17   2.40942905833e+12   6.29863669156e+16   3.14952e+13   1.06986412704e+14   15443677227.2   170423413448.0
   30.96   10.2999997139   230.15   3.24122216884e+17   2.51717550297e+12   6.77415433287e+16   3.90841e+13   1.15063386994e+14   17782113039.6   188291851214.0
   30.33   11.2999997139   229.8   3.56131978548e+17   2.64415997275e+12   7.44315835166e+16   4.00811e+13   1.26426852385e+14   21455445225.5   214969954139.0
   29.15   13.5   226.85   4.31000285607e+17   3.00115761731e+12   9.00790596919e+16   3.11832e+13   1.53005101391e+14   28928911562.6   273729821233.0
   28.03   16.0   223.9   5.17545404019e+17   3.37355944548e+12   1.0816698944e+17   2.08026e+13   1.83728618427e+14   37891178768.4   345084440660.0
   27.26   18.0   221.9   5.87486335947e+17   3.63382089295e+12   1.22784644213e+17   1.41683e+13   2.08557649261e+14   45538253353.7   405940304213.0
   26.75   19.5   220.5   6.40484446319e+17   3.82305030396e+12   1.33861249281e+17   1.02977e+13   2.27371978443e+14   51299368562.6   452601062860.0
   26.57   20.0500001907   219.85   6.60496444751e+17   3.82698289544e+12   1.38043756953e+17   1.06194e+13   2.34476237886e+14   53958151361.5   474927897022.0
   25.96   22.0500001907   219.7   7.26877317626e+17   4.01058392433e+12   1.51917359384e+17   1.16867e+13   2.58041447757e+14   60977278733.4   536957507607.0
   25.17   24.8999996185   219.8   8.20453961782e+17   4.2529810534e+12   1.71474878013e+17   1.31912e+13   2.91261156433e+14   71012625575.4   626772978014.0
   24.8   26.3999996185   219.55   8.70869424806e+17   4.28724742203e+12   1.82011709784e+17   1.40018e+13   3.09158645806e+14   77198439161.8   683708839958.0
   24.42   28.0   218.75   9.27027333996e+17   4.36375992061e+12   1.93748712805e+17   1.49047e+13   3.29094703569e+14   83802542087.7   744840835572.0
   24.09   29.5   218.05   9.79824938737e+17   4.38125370077e+12   2.04783412196e+17   1.57536e+13   3.47837853252e+14   90635916583.5   812044325615.0
   23.67   31.5   217.1   1.05083199706e+18   4.37183525276e+12   2.19623887386e+17   8.4476e+12   3.73045358956e+14   100347793504.0   912341521356.0
   23.09   34.5   215.65   1.15864982308e+18   4.40706016144e+12   2.42157813025e+17   0.0   4.11320687195e+14   114875519521.0   1.06041297364e+12
   22.72   36.6000003815   214.7   1.23461520654e+18   4.25314699894e+12   2.58034578168e+17   0.0   4.38288398323e+14   128870058256.0   1.1983043615e+12
   21.77   42.6000003815   215.4   1.43234115679e+18   4.3303092594e+12   2.99359301769e+17   0.0   5.08481110661e+14   163014740316.0   1.49542758036e+12
   20.96   48.4499988556   216.4   1.62150794805e+18   4.33476703576e+12   3.38895161141e+17   0.0   5.75635321556e+14   201434583181.0   1.79269471552e+12
   20.83   49.4499988556   216.35   1.65535810494e+18   4.11269456943e+12   3.45969843933e+17   0.0   5.87652127254e+14   217638522344.0   1.88531974482e+12
   20.39   53.0   215.3   1.78284835133e+18   4.11608852774e+12   3.72615305428e+17   0.0   6.32911164723e+14   248808051117.0   2.083005376e+12
   19.96   56.7999992371   214.1   1.9213842233e+18   3.9900945107e+12   4.01569302669e+17   0.0   6.82091399271e+14   293488913977.0   2.31367674368e+12
   19.23   63.7999992371   214.65   2.15264466796e+18   3.80321723341e+12   4.49902735604e+17   0.0   7.64188857127e+14   369023617387.0   2.68182771934e+12
   18.47   72.0   215.8   2.41637111415e+18   3.53916273611e+12   5.05021562858e+17   0.0   8.57811745524e+14   457466977091.0   3.09233639242e+12
   18.24   74.7000007629   216.3   2.50118989909e+18   3.17855409331e+12   5.22748688911e+17   0.0   8.87922414179e+14   501868143862.0   3.2474816692e+12
   17.95   78.2000007629   215.9   2.62323188229e+18   2.84693506667e+12   5.48255463398e+17   0.0   9.31247318212e+14   558774798985.0   3.45440993058e+12
   17.03   90.5   213.7   3.06709069115e+18   2.5360133944e+12   6.41021954451e+17   0.0   1.08881719536e+15   717381671984.0   4.13130114326e+12
   15.88   109.0   212.95   3.70707535636e+18   2.28999109367e+12   7.74778749479e+17   0.0   1.31601175151e+15   950433968971.0   5.13794336504e+12
   14.59   134.0   212.95   4.55732199772e+18   2.30746637436e+12   9.52480297524e+17   0.0   1.61784930919e+15   1.2368253975e+12   6.4837546806e+12
   13.77   153.0   211.15   5.24786811347e+18   2.20651970667e+12   1.09680443572e+18   0.0   1.86299318028e+15   1.46484083885e+12   7.60661366651e+12
   13.1   170.5   212.15   5.82054852512e+18   1.99283599356e+12   1.21649464175e+18   0.0   2.06629472642e+15   1.65424974292e+12   8.56018580594e+12
   12.34   192.5   214.55   6.49807588761e+18   1.81880355444e+12   1.35809786051e+18   5.22378e+13   2.3068169401e+15   1.87692992831e+12   9.68220472775e+12
   11.92   206.0   214.95   6.94084477263e+18   1.67244026477e+12   1.45063655748e+18   1.67392e+14   2.46399989428e+15   2.02820212891e+12   1.04375949883e+13
   11.71   213.0   214.95   7.17669872121e+18   1.56412014201e+12   1.49993003273e+18   2.30773e+14   2.54772804603e+15   2.11370609515e+12   1.08640551837e+13
   11.33   226.0   216.25   7.5689370478e+18   1.50647359188e+12   1.58190784299e+18   3.04232e+14   2.68697265197e+15   2.24936486276e+12   1.15539428698e+13
   10.85   244.0   218.75   8.07838105339e+18   1.41968634936e+12   1.68838164016e+18   4.54593e+14   2.86782527395e+15   2.4308212122e+12   1.24780841025e+13
   10.24   268.0   223.55   8.68245785756e+18   1.31914385492e+12   1.81463369223e+18   9.77172e+14   3.08227253943e+15   2.65250806149e+12   1.35979651536e+13
   9.65   293.0   228.55   9.28472316075e+18   1.24940343749e+12   1.9405071406e+18   1.64207e+15   3.29607672207e+15   2.87624594975e+12   1.47192385339e+13
   9.39   304.5   230.85   9.55300469283e+18   1.15905171595e+12   1.9965779808e+18   1.61272e+15   3.39131666596e+15   2.99257360245e+12   1.52928894147e+13
   8.83   331.0   235.75   1.01685461145e+19   1.11357327876e+12   2.12522613794e+18   2.45234e+15   3.60983387066e+15   3.21232230738e+12   1.64087418455e+13
   8.33   355.0   240.2   1.07037981791e+19   1.08452947679e+12   2.23709381944e+18   3.61399e+15   3.7998483536e+15   3.39690748772e+12   1.73582680503e+13
   8.23   360.5   241.1   1.08290567976e+19   1.04975536951e+12   2.26327287071e+18   3.56923e+15   3.84431516316e+15   3.44433358088e+12   1.76062413612e+13
   8.01   371.5   242.75   1.10836333219e+19   1.03166094565e+12   2.31647936429e+18   2.49483e+15   3.93468982929e+15   3.53222105347e+12   1.80605492723e+13
   7.77   384.5   244.45   1.13917085308e+19   1.01310084393e+12   2.38086708295e+18   2.56417e+15   4.04405652845e+15   3.63778988211e+12   1.86082791168e+13
   7.63   392.0   245.25   1.15760294e+19   998912345941.0   2.41939014461e+18   3.35013e+15   4.10949043702e+15   3.70024077151e+12   1.89442650509e+13
   7.54   397.0   245.35   1.17189045587e+19   995873691968.0   2.44925105277e+18   5.36985e+15   4.16021111834e+15   3.74638468266e+12   1.92015205443e+13
   7.47   401.0   245.35   1.18369791638e+19   986765765206.0   2.47392864524e+18   8.27866e+15   4.20212760316e+15   3.78446352854e+12   1.94253316088e+13
   7.21   415.5   247.55   1.21559995581e+19   974402036997.0   2.54060390764e+18   1.01631e+16   4.31537984313e+15   3.88713472132e+12   2.00106257416e+13
